,test,case,Line
532,test_max,numeric_only None-skipna True-over rows str-empty_data,Line 31694
533,test_max,numeric_only None-skipna True-over rows str-columns_only,Line 31774
534,test_max,numeric_only None-skipna True-over columns int-empty_data,Line 31855
535,test_max,numeric_only None-skipna True-over columns int-columns_only,Line 31942
536,test_max,numeric_only None-skipna True-over columns str-empty_data,Line 32013
537,test_max,numeric_only None-skipna True-over columns str-columns_only,Line 32100
538,test_max,numeric_only None-skipna False-over rows int-empty_data,Line 32171
539,test_max,numeric_only None-skipna False-over rows int-columns_only,Line 32251
540,test_max,numeric_only None-skipna False-over rows str-empty_data,Line 32332
541,test_max,numeric_only None-skipna False-over rows str-columns_only,Line 32412
542,test_max,numeric_only None-skipna False-over columns int-empty_data,Line 32493
543,test_max,numeric_only None-skipna False-over columns int-columns_only,Line 32580
544,test_max,numeric_only None-skipna False-over columns str-empty_data,Line 32651
545,test_max,numeric_only None-skipna False-over columns str-columns_only,Line 32738
546,test_max,numeric_only None-skipna None-over rows int-empty_data,Line 32809
547,test_max,numeric_only None-skipna None-over rows int-columns_only,Line 32889
548,test_max,numeric_only None-skipna None-over rows str-empty_data,Line 32970
549,test_max,numeric_only None-skipna None-over rows str-columns_only,Line 33050
550,test_max,numeric_only None-skipna None-over columns int-empty_data,Line 33131
551,test_max,numeric_only None-skipna None-over columns int-columns_only,Line 33218
552,test_max,numeric_only None-skipna None-over columns str-empty_data,Line 33289
553,test_max,numeric_only None-skipna None-over columns str-columns_only,Line 33376
554,test_mean,numeric_only True-skipna True-over rows int-empty_data,Line 33447
555,test_mean,numeric_only True-skipna True-over rows int-columns_only,Line 33534
556,test_last_valid_index,columns_only,Line 33605
557,test_mean,numeric_only True-skipna True-over rows str-empty_data,Line 33661
558,test_nunique,dropna True-over columns int-columns_only,Line 33748
559,test_mean,numeric_only True-skipna True-over rows str-columns_only,Line 33814
560,test_mean,numeric_only True-skipna True-over columns int-empty_data,Line 33885
561,test_nunique,dropna True-over columns str-columns_only,Line 33972
562,test_mean,numeric_only True-skipna True-over columns int-columns_only,Line 34038
563,test_mean,numeric_only True-skipna True-over columns str-empty_data,Line 34109
564,test_nunique,dropna False-over rows int-columns_only,Line 34196
565,test_mean,numeric_only True-skipna True-over columns str-columns_only,Line 34262
566,test_nunique,dropna False-over rows str-columns_only,Line 34333
567,test_mean,numeric_only True-skipna False-over rows int-empty_data,Line 34399
568,test_mean,numeric_only True-skipna False-over rows int-columns_only,Line 34486
569,test_nunique,dropna False-over columns int-columns_only,Line 34557
570,test_mean,numeric_only True-skipna False-over rows str-empty_data,Line 34623
571,test_nunique,dropna False-over columns str-columns_only,Line 34710
572,test_mean,numeric_only True-skipna False-over rows str-columns_only,Line 34776
573,test_mean,numeric_only True-skipna False-over columns int-empty_data,Line 34847
574,test_nunique,dropna None-over rows int-columns_only,Line 34934
575,test_mean,numeric_only True-skipna False-over columns int-columns_only,Line 35000
576,test_nunique,dropna None-over rows str-columns_only,Line 35071
577,test_mean,numeric_only True-skipna False-over columns str-empty_data,Line 35137
578,test_nunique,dropna None-over columns int-columns_only,Line 35224
579,test_mean,numeric_only True-skipna False-over columns str-columns_only,Line 35290
580,test_mean,numeric_only True-skipna None-over rows int-empty_data,Line 35361
581,test_nunique,dropna None-over columns str-columns_only,Line 35448
582,test_mean,numeric_only True-skipna None-over rows int-columns_only,Line 35514
583,test_pipe,empty_data,Line 35585
584,test_mean,numeric_only True-skipna None-over rows str-empty_data,Line 35600
585,test_pipe,columns_only,Line 35687
586,test_mean,numeric_only True-skipna None-over rows str-columns_only,Line 35702
587,test_mean,numeric_only True-skipna None-over columns int-empty_data,Line 35773
588,test_mean,numeric_only True-skipna None-over columns int-columns_only,Line 35860
589,test_mean,numeric_only True-skipna None-over columns str-empty_data,Line 35931
590,test_mean,numeric_only True-skipna None-over columns str-columns_only,Line 36018
591,test_plot,empty_data,Line 36089
592,test_mean,numeric_only False-skipna True-over rows int-empty_data,Line 36146
593,test_plot,columns_only,Line 36228
594,test_mean,numeric_only False-skipna True-over rows int-columns_only,Line 36286
595,test_mean,numeric_only False-skipna True-over rows str-empty_data,Line 36369
596,test_mean,numeric_only False-skipna True-over rows str-columns_only,Line 36451
597,test_mean,numeric_only False-skipna True-over columns int-empty_data,Line 36534
598,test_mean,numeric_only False-skipna True-over columns int-columns_only,Line 36614
599,test_mean,numeric_only False-skipna True-over columns str-empty_data,Line 36685
600,test_mean,numeric_only False-skipna True-over columns str-columns_only,Line 36765
601,test_mean,numeric_only False-skipna False-over rows int-empty_data,Line 36836
602,test_mean,numeric_only False-skipna False-over rows int-columns_only,Line 36918
603,test_pop,columns_only,Line 37001
604,test_mean,numeric_only False-skipna False-over rows str-empty_data,Line 37052
605,test_mean,numeric_only False-skipna False-over rows str-columns_only,Line 37134
606,test_mean,numeric_only False-skipna False-over columns int-empty_data,Line 37309
607,test_mean,numeric_only False-skipna False-over columns int-columns_only,Line 37463
608,test_mean,numeric_only False-skipna False-over columns str-empty_data,Line 37700
609,test_mean,numeric_only False-skipna False-over columns str-columns_only,Line 37780
610,test_mean,numeric_only False-skipna None-over rows int-empty_data,Line 38017
611,test_mean,numeric_only False-skipna None-over rows int-columns_only,Line 38191
612,test_mean,numeric_only False-skipna None-over rows str-empty_data,Line 38348
613,test_mean,numeric_only False-skipna None-over rows str-columns_only,Line 38430
614,test_mean,numeric_only False-skipna None-over columns int-empty_data,Line 38679
615,test_mean,numeric_only False-skipna None-over columns int-columns_only,Line 38851
616,test_mean,numeric_only False-skipna None-over columns str-empty_data,Line 38996
617,test_mean,numeric_only False-skipna None-over columns str-columns_only,Line 39168
618,test_mean,numeric_only None-skipna True-over rows int-empty_data,Line 39479
619,test_mean,numeric_only None-skipna True-over rows int-columns_only,Line 39561
620,test_mean,numeric_only None-skipna True-over rows str-empty_data,Line 39736
621,test_mean,numeric_only None-skipna True-over rows str-columns_only,Line 39892
622,test_mean,numeric_only None-skipna True-over columns int-empty_data,Line 40141
623,test_mean,numeric_only None-skipna True-over columns int-columns_only,Line 40221
624,test_mean,numeric_only None-skipna True-over columns str-empty_data,Line 40458
625,test_mean,numeric_only None-skipna True-over columns str-columns_only,Line 40630
626,test_mean,numeric_only None-skipna False-over rows int-empty_data,Line 40775
627,test_mean,numeric_only None-skipna False-over rows int-columns_only,Line 40857
628,test_mean,numeric_only None-skipna False-over rows str-empty_data,Line 41196
629,test_mean,numeric_only None-skipna False-over rows str-columns_only,Line 41278
630,test_mean,numeric_only None-skipna False-over columns int-empty_data,Line 41539
631,test_mean,numeric_only None-skipna False-over columns int-columns_only,Line 41693
632,test_mean,numeric_only None-skipna False-over columns str-empty_data,Line 41856
633,test_mean,numeric_only None-skipna False-over columns str-columns_only,Line 42010
634,test_mean,numeric_only None-skipna None-over rows int-empty_data,Line 42252
635,test_mean,numeric_only None-skipna None-over rows int-columns_only,Line 42334
636,test_mean,numeric_only None-skipna None-over rows str-empty_data,Line 42588
637,test_mean,numeric_only None-skipna None-over rows str-columns_only,Line 42670
638,test_mean,numeric_only None-skipna None-over columns int-empty_data,Line 42919
639,test_mean,numeric_only None-skipna None-over columns int-columns_only,Line 42999
640,test_mean,numeric_only None-skipna None-over columns str-empty_data,Line 43237
641,test_mean,numeric_only None-skipna None-over columns str-columns_only,Line 43402
642,test_median,numeric_only True-skipna True-over rows int-empty_data,Line 43559
643,test_median,numeric_only True-skipna True-over rows int-columns_only,Line 43731
644,test_median,numeric_only True-skipna True-over rows str-empty_data,Line 43884
645,test_median,numeric_only True-skipna True-over rows str-columns_only,Line 44063
646,test_median,numeric_only True-skipna True-over columns int-empty_data,Line 44204
647,test_median,numeric_only True-skipna True-over columns int-columns_only,Line 44457
648,test_median,numeric_only True-skipna True-over columns str-empty_data,Line 44524
649,test_median,numeric_only True-skipna True-over columns str-columns_only,Line 44696
650,test_median,numeric_only True-skipna False-over rows int-empty_data,Line 44849
651,test_median,numeric_only True-skipna False-over rows int-columns_only,Line 45021
652,test_median,numeric_only True-skipna False-over rows str-empty_data,Line 45174
653,test_median,numeric_only True-skipna False-over rows str-columns_only,Line 45353
654,test_median,numeric_only True-skipna False-over columns int-empty_data,Line 45494
655,test_median,numeric_only True-skipna False-over columns int-columns_only,Line 45673
656,test_median,numeric_only True-skipna False-over columns str-empty_data,Line 45899
657,test_median,numeric_only True-skipna False-over columns str-columns_only,Line 46072
658,test_median,numeric_only True-skipna None-over rows int-empty_data,Line 46310
659,test_median,numeric_only True-skipna None-over rows int-columns_only,Line 46397
660,test_median,numeric_only True-skipna None-over rows str-empty_data,Line 46630
661,test_median,numeric_only True-skipna None-over rows str-columns_only,Line 46809
662,test_median,numeric_only True-skipna None-over columns int-empty_data,Line 46950
663,test_median,numeric_only True-skipna None-over columns int-columns_only,Line 47122
664,test_median,numeric_only True-skipna None-over columns str-empty_data,Line 47275
665,test_median,numeric_only True-skipna None-over columns str-columns_only,Line 47362
666,test_median,numeric_only False-skipna True-over rows int-empty_data,Line 47600
667,test_median,numeric_only False-skipna True-over rows int-columns_only,Line 47740
668,test_median,numeric_only False-skipna True-over rows str-empty_data,Line 47881
669,test_median,numeric_only False-skipna True-over rows str-columns_only,Line 48095
670,test_median,numeric_only False-skipna True-over columns int-empty_data,Line 48254
671,test_median,numeric_only False-skipna True-over columns int-columns_only,Line 48376
672,test_median,numeric_only False-skipna True-over columns str-empty_data,Line 48535
673,test_median,numeric_only False-skipna True-over columns str-columns_only,Line 48657
674,test_median,numeric_only False-skipna False-over rows int-empty_data,Line 48816
675,test_median,numeric_only False-skipna False-over rows int-columns_only,Line 48938
