"seller_name"|"New"
"WITMER FUNDING|LLC","Witmer"
"WELLS FARGO CREDIT RISK TRANSFER SECURITIES TRUST 2015","Wells Fargo"
"WELLS FARGO BANK| NA","Wells Fargo"
